member_casual;hour;num_trips
casual;17;200,988
casual;16;185,619
casual;18;172,032
casual;15;161,734
casual;14;145,729
casual;13;138,188
casual;12;133,559
casual;19;129,426
casual;11;112,530
casual;20;93,947
casual;10;88,241
casual;21;79,729
casual;8;74,039
casual;9;73,117
casual;22;67,416
casual;7;51,427
casual;23;47,914
casual;0;41,519
casual;6;27,758
casual;1;26,791
casual;2;17,798
casual;5;12,304
casual;3;9,888
casual;4;7,809
member;17;404,830
member;16;355,271
member;18;313,229
member;8;273,071
member;15;250,142
member;19;217,287
member;7;210,186
member;12;198,471
member;14;198,455
member;13;194,857
member;11;174,272
member;9;174,049
member;20;151,790
member;10;148,912
member;21;117,878
member;6;105,741
member;22;85,133
member;23;52,791
member;5;36,084
member;0;33,969
member;1;20,906
member;2;12,617
member;4;9,194
member;3;8,223
