member_casual;month_name;num_trips
casual;August;337,740
casual;July;323,226
casual;June;291,894
casual;September;265,186
casual;May;245,183
casual;October;223,969
casual;April;131,454
casual;November;99,061
casual;March;87,815
casual;February;41,162
casual;December;28,079
casual;January;24,733
member;August;452,322
member;September;449,190
member;July;439,955
member;October;421,952
member;May;408,511
member;June;386,691
member;April;316,652
member;November;257,351
member;March;229,088
member;February;160,251
member;January;113,001
member;December;112,394
